period,variant,start,end,return_pct,drawdown_pct,pf,win_rate_pct,trades,open_positions
full,base,2022-05-06,latest,138.52,8.74,4.23,64.97,157,0
full,alpha040_top70,2022-05-06,latest,148.23,9.78,5.15,69.01,142,5
full,alpha084_top70,2022-05-06,latest,140.12,9.85,4.95,69.85,136,4
full,alpha176_top70,2022-05-06,latest,126.37,9.71,4.7,68.38,136,4
full,alpha127_top70,2022-05-06,latest,130.06,11.42,4.45,68.38,136,5
full,alpha161_top70,2022-05-06,latest,94.55,9.71,4.23,69.29,127,4
from_2023,base,2023-01-01,latest,144.93,8.83,5.25,66.17,133,0
from_2023,alpha040_top70,2023-01-01,latest,155.89,9.78,6.49,71.07,121,5
from_2023,alpha084_top70,2023-01-01,latest,140.01,9.85,5.95,70.69,116,4
from_2023,alpha176_top70,2023-01-01,latest,133.53,9.72,5.76,72.03,118,4
from_2023,alpha127_top70,2023-01-01,latest,125.19,12.82,5.11,68.14,113,5
from_2023,alpha161_top70,2023-01-01,latest,100.87,9.71,4.88,70.37,108,4
from_2024,base,2024-01-01,latest,112.16,8.46,6.05,66.33,98,0
from_2024,alpha040_top70,2024-01-01,latest,127.33,9.78,8.09,74.73,91,5
from_2024,alpha084_top70,2024-01-01,latest,113.42,9.85,6.92,72.41,87,4
from_2024,alpha176_top70,2024-01-01,latest,98.92,9.71,6.41,70.93,86,4
from_2024,alpha127_top70,2024-01-01,latest,104.98,8.49,6.4,69.77,86,5
from_2024,alpha161_top70,2024-01-01,latest,70.53,9.71,4.94,68.42,76,4
from_2025,base,2025-01-01,latest,44.97,8.46,5.43,70.59,68,0
from_2025,alpha040_top70,2025-01-01,latest,55.15,9.78,8.2,78.12,64,5
from_2025,alpha084_top70,2025-01-01,latest,49.72,9.85,7.12,78.69,61,4
from_2025,alpha176_top70,2025-01-01,latest,36.77,9.71,5.77,73.33,60,4
from_2025,alpha127_top70,2025-01-01,latest,42.45,8.49,6.11,73.33,60,5
from_2025,alpha161_top70,2025-01-01,latest,14.99,9.71,2.68,70.0,50,4
2022_2023,base,2022-05-06,2023-12-31,6.11,8.74,1.43,58.33,48,0
2022_2023,alpha040_top70,2022-05-06,2023-12-31,3.5,8.4,1.29,57.14,42,1
2022_2023,alpha084_top70,2022-05-06,2023-12-31,6.51,8.74,1.54,62.5,40,0
2022_2023,alpha176_top70,2022-05-06,2023-12-31,8.27,6.22,1.88,62.5,40,1
2022_2023,alpha127_top70,2022-05-06,2023-12-31,6.15,8.26,1.5,64.29,42,1
2022_2023,alpha161_top70,2022-05-06,2023-12-31,6.45,3.93,1.93,65.85,41,0
2023_2024,base,2023-01-01,2024-12-31,54.31,8.83,4.21,58.33,60,0
2023_2024,alpha040_top70,2023-01-01,2024-12-31,49.55,9.72,4.04,55.77,52,0
2023_2024,alpha084_top70,2023-01-01,2024-12-31,45.72,7.99,3.94,56.0,50,0
2023_2024,alpha176_top70,2023-01-01,2024-12-31,56.07,8.36,4.69,66.04,53,0
2023_2024,alpha127_top70,2023-01-01,2024-12-31,43.21,12.82,3.39,55.1,49,0
2023_2024,alpha161_top70,2023-01-01,2024-12-31,60.8,5.49,6.85,66.67,54,0
2024_2025,base,2024-01-01,2025-12-31,74.87,6.3,9.13,69.84,63,0
2024_2025,alpha040_top70,2024-01-01,2025-12-31,76.58,6.04,10.48,73.68,57,0
2024_2025,alpha084_top70,2024-01-01,2025-12-31,66.89,7.06,8.57,69.81,53,0
2024_2025,alpha176_top70,2024-01-01,2025-12-31,66.94,6.34,8.24,69.64,56,0
2024_2025,alpha127_top70,2024-01-01,2025-12-31,70.74,7.19,8.44,70.18,57,0
2024_2025,alpha161_top70,2024-01-01,2025-12-31,65.39,5.25,12.78,73.08,52,0
